"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","seq_platform","set_type","sex","size","software_version","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"H3K4me2","HSMM","wgEncodeBroadHistone","std","wgEncodeEH000119","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000115","GSM733768","Bernstein","Broad",,"2bf577f7acf33efa816060639ed5b425",,"hg18","wgEncode",,,"exp",,"402M",,2845,,"wgEncodeBroadHistoneHsmmH3k4me2StdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmH3k4me2StdSig.bigWig","wgEncodeBroadHistoneHsmmH3k4me2StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmH3k4me2StdSig.bigWig"
"H3K4me3","HSMM","wgEncodeBroadHistone","std","wgEncodeEH000119","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH000116","GSM733637","Bernstein","Broad",,"ef44dc69514bdaf51c099ceb1ea24f27",,"hg18","wgEncode",,,"exp",,"700K","ScriptureVPaperR3",2846,,"wgEncodeBroadHistoneHsmmH3k4me3StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmH3k4me3StdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmH3k4me3StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmH3k4me3StdPk.broadPeak.gz"
"H3K4me3","HSMM","wgEncodeBroadHistone","std","wgEncodeEH000119","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000116","GSM733637","Bernstein","Broad",,"b9a1ecd6a2de34b7fdf1fc78d1ffddbb",,"hg18","wgEncode",,,"exp",,"258M",,2846,,"wgEncodeBroadHistoneHsmmH3k4me3StdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmH3k4me3StdSig.bigWig","wgEncodeBroadHistoneHsmmH3k4me3StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmH3k4me3StdSig.bigWig"
"H3K79me2","HSMM","wgEncodeBroadHistone","std","wgEncodeEH000119","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH000998","GSM733741","Bernstein","Broad",,"9837528bfd0a75678d137b10383da904",,"hg19","wgEncode",,,"exp",,"543K","ScriptureVPaperR3",2847,,"wgEncodeBroadHistoneHsmmH3k79me2StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmH3k79me2StdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmH3k79me2StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmH3k79me2StdPk.broadPeak.gz"
"H3K79me2","HSMM","wgEncodeBroadHistone","std","wgEncodeEH000119","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH000998","GSM733741","Bernstein","Broad",,"04baa39258f542fcd60d4e32ec3e0672",,"hg19","wgEncode",,,"exp",,"609M",,2847,,"wgEncodeBroadHistoneHsmmH3k79me2StdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmH3k79me2StdSig.bigWig","wgEncodeBroadHistoneHsmmH3k79me2StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmH3k79me2StdSig.bigWig"
"H3K9ac","HSMM","wgEncodeBroadHistone","std","wgEncodeEH000119","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH000117","GSM733775","Bernstein","Broad",,"5bc811249415a9f09922cf281182bd10",,"hg18","wgEncode",,,"exp",,"1003K","ScriptureVPaperR3",2848,,"wgEncodeBroadHistoneHsmmH3k9acStdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmH3k9acStdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmH3k9acStdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmH3k9acStdPk.broadPeak.gz"
"H3K9ac","HSMM","wgEncodeBroadHistone","std","wgEncodeEH000119","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000117","GSM733775","Bernstein","Broad",,"648993d149d81b2fc452199159eaaf1b",,"hg18","wgEncode",,,"exp",,"335M",,2848,,"wgEncodeBroadHistoneHsmmH3k9acStdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmH3k9acStdSig.bigWig","wgEncodeBroadHistoneHsmmH3k9acStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmH3k9acStdSig.bigWig"
"H3K9me3","HSMM","wgEncodeBroadHistone","std","wgEncodeEH000119","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-05-05#,"wgEncodeEH000999","GSM733730","Bernstein","Broad",,"f20d97556d11d3fbe10f5c5ae49edced",,"hg19","wgEncode",,,"exp",,"999K","ScriptureVPaperR3",2849,,"wgEncodeBroadHistoneHsmmH3k9me3StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmH3k9me3StdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmH3k9me3StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmH3k9me3StdPk.broadPeak.gz"
"H3K9me3","HSMM","wgEncodeBroadHistone","std","wgEncodeEH000119","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH000999","GSM733730","Bernstein","Broad",,"758f08ea4e418349b49344ab03f7fe0f",,"hg19","wgEncode",,,"exp",,"702M",,2849,,"wgEncodeBroadHistoneHsmmH3k9me3StdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmH3k9me3StdSig.bigWig","wgEncodeBroadHistoneHsmmH3k9me3StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmH3k9me3StdSig.bigWig"
"H4K20me1","HSMM","wgEncodeBroadHistone","std","wgEncodeEH000119","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH000118","GSM733676","Bernstein","Broad",,"aab6e95b30db6e0f2fa6e95f685f38af",,"hg18","wgEncode",,,"exp",,"478K","ScriptureVPaperR3",2850,,"wgEncodeBroadHistoneHsmmH4k20me1StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmH4k20me1StdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmH4k20me1StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmH4k20me1StdPk.broadPeak.gz"
"H4K20me1","HSMM","wgEncodeBroadHistone","std","wgEncodeEH000119","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000118","GSM733676","Bernstein","Broad",,"3758cec74e50842ae75da534ad7c03dc",,"hg18","wgEncode",,,"exp",,"405M",,2850,,"wgEncodeBroadHistoneHsmmH4k20me1StdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmH4k20me1StdSig.bigWig","wgEncodeBroadHistoneHsmmH4k20me1StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmH4k20me1StdSig.bigWig"
"Input","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH001001","GSM733648","Bernstein","Broad",,"523458c2db6152a9d1a5d11931969bbf",,"hg19","wgEncode",,,"exp",,"792M",,2839,,"wgEncodeBroadHistoneHsmmtControlStdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtControlStdSig.bigWig","wgEncodeBroadHistoneHsmmtControlStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtControlStdSig.bigWig"
"CTCF","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH001000","GSM733783","Bernstein","Broad",,"4a89bba77dc76dca4dfc6d98bc086ccc",,"hg19","wgEncode",,,"exp",,"1.6M","ScriptureVPaperR3",2829,,"wgEncodeBroadHistoneHsmmtCtcfStdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtCtcfStdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmtCtcfStdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtCtcfStdPk.broadPeak.gz"
"CTCF","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH001000","GSM733783","Bernstein","Broad",,"578ae0f77dfcae8d8da3e128f88a3113",,"hg19","wgEncode",,,"exp",,"402M",,2829,,"wgEncodeBroadHistoneHsmmtCtcfStdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtCtcfStdSig.bigWig","wgEncodeBroadHistoneHsmmtCtcfStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtCtcfStdSig.bigWig"
"EZH2_(39875)","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-15#,#2012-12-15#,"wgEncodeEH003083","GSM1003523","Bernstein","Broad",,"d93a91015cf340e510e92d7cdab7ceae",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"6.3M","ScriptureVPaperR3",6005,,"wgEncodeBroadHistoneHsmmtEzh239875Pk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtEzh239875Pk.broadPeak.gz","wgEncodeBroadHistoneHsmmtEzh239875Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtEzh239875Pk.broadPeak.gz"
"EZH2_(39875)","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-15#,#2012-12-15#,"wgEncodeEH003083","GSM1003523","Bernstein","Broad",,"0bbb261001d7a86e8596cd0730ce0361",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"318M",,6005,,"wgEncodeBroadHistoneHsmmtEzh239875Sig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtEzh239875Sig.bigWig","wgEncodeBroadHistoneHsmmtEzh239875Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtEzh239875Sig.bigWig"
"H2A.Z","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH001002","GSM733746","Bernstein","Broad",,"bb02776954ecd4c6f7a3b1ee3f11dcdf",,"hg19","wgEncode",,,"exp",,"2.1M","ScriptureVPaperR3",2830,,"wgEncodeBroadHistoneHsmmtH2azStdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtH2azStdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmtH2azStdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH2azStdPk.broadPeak.gz"
"H2A.Z","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH001002","GSM733746","Bernstein","Broad",,"089e126c8c136dbf8a44982d6c60f2c0",,"hg19","wgEncode",,,"exp",,"597M",,2830,,"wgEncodeBroadHistoneHsmmtH2azStdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtH2azStdSig.bigWig","wgEncodeBroadHistoneHsmmtH2azStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH2azStdSig.bigWig"
"H3K9me3","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-10-20#,#2012-07-20#,"wgEncodeEH002394","GSM1003482","Bernstein","Broad",,"b2aa46ded81ac4bf087d3da478479e94",,"hg19","wgEncode",,,"exp",,"966K","ScriptureVPaperR3",4951,,"wgEncodeBroadHistoneHsmmtH3k09me3Pk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtH3k09me3Pk.broadPeak.gz","wgEncodeBroadHistoneHsmmtH3k09me3Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k09me3Pk.broadPeak.gz"
"H3K9me3","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-10-20#,#2012-07-20#,"wgEncodeEH002394","GSM1003482","Bernstein","Broad",,"e5468c7d30b2e3a945a659bef24a4ccb",,"hg19","wgEncode",,,"exp",,"494M",,4951,,"wgEncodeBroadHistoneHsmmtH3k09me3Sig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtH3k09me3Sig.bigWig","wgEncodeBroadHistoneHsmmtH3k09me3Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k09me3Sig.bigWig"
"H3K27ac","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH001003","GSM733666","Bernstein","Broad",,"2b48f89cf5b7ef58749b1ff56c696521",,"hg19","wgEncode",,,"exp",,"1.6M","ScriptureVPaperR3",2831,,"wgEncodeBroadHistoneHsmmtH3k27acStdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtH3k27acStdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmtH3k27acStdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k27acStdPk.broadPeak.gz"
"H3K27ac","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH001003","GSM733666","Bernstein","Broad",,"592dab86e73bea4f0dd1bc3e97407f78",,"hg19","wgEncode",,,"exp",,"203M",,2831,,"wgEncodeBroadHistoneHsmmtH3k27acStdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtH3k27acStdSig.bigWig","wgEncodeBroadHistoneHsmmtH3k27acStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k27acStdSig.bigWig"
"H3K27me3","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-16#,#2012-12-16#,"wgEncodeEH003092","GSM1003503","Bernstein","Broad",,"47166a8c72b8f10f9b8a3deb1d445899",,"hg19","wgEncode",,"Illumina_GA2e","exp",,"1.2M","ScriptureVPaperR3",6078,,"wgEncodeBroadHistoneHsmmtH3k27me3Pk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtH3k27me3Pk.broadPeak.gz","wgEncodeBroadHistoneHsmmtH3k27me3Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k27me3Pk.broadPeak.gz"
"H3K27me3","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-16#,#2012-12-16#,"wgEncodeEH003092","GSM1003503","Bernstein","Broad",,"7782f8ce2aea21c934de4f7a5e9f8bd8",,"hg19","wgEncode",,"Illumina_GA2e","exp",,"500M",,6078,,"wgEncodeBroadHistoneHsmmtH3k27me3Sig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtH3k27me3Sig.bigWig","wgEncodeBroadHistoneHsmmtH3k27me3Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k27me3Sig.bigWig"
"H3K36me3","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH001004","GSM733717","Bernstein","Broad",,"74ec2d23e8efd42f12bdba29fdb925d7",,"hg19","wgEncode",,,"exp",,"914K","ScriptureVPaperR3",2832,,"wgEncodeBroadHistoneHsmmtH3k36me3StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtH3k36me3StdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmtH3k36me3StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k36me3StdPk.broadPeak.gz"
"H3K36me3","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH001004","GSM733717","Bernstein","Broad",,"941e5b3b1d55b151ea21ab495e7bb05a",,"hg19","wgEncode",,,"exp",,"401M",,2832,,"wgEncodeBroadHistoneHsmmtH3k36me3StdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtH3k36me3StdSig.bigWig","wgEncodeBroadHistoneHsmmtH3k36me3StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k36me3StdSig.bigWig"
"H3K4me1","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH001005","GSM733661","Bernstein","Broad",,"a8d1c311fca042c9b6f510c6c2d0a6e1",,"hg19","wgEncode",,,"exp",,"2.5M","ScriptureVPaperR3",2833,,"wgEncodeBroadHistoneHsmmtH3k4me1StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtH3k4me1StdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmtH3k4me1StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k4me1StdPk.broadPeak.gz"
"H3K4me1","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH001005","GSM733661","Bernstein","Broad",,"4a0e2064dbe0a4d96df8f3b35cef9aad",,"hg19","wgEncode",,,"exp",,"374M",,2833,,"wgEncodeBroadHistoneHsmmtH3k4me1StdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtH3k4me1StdSig.bigWig","wgEncodeBroadHistoneHsmmtH3k4me1StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k4me1StdSig.bigWig"
"H3K4me2","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH001006","GSM733700","Bernstein","Broad",,"50dbc601ec6ff319f9f32eb1cbef9e64",,"hg19","wgEncode",,,"exp",,"1.7M","ScriptureVPaperR3",2834,,"wgEncodeBroadHistoneHsmmtH3k4me2StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtH3k4me2StdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmtH3k4me2StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k4me2StdPk.broadPeak.gz"
"H3K4me2","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH001006","GSM733700","Bernstein","Broad",,"afba59c3b563865b0f435abc436aabe0",,"hg19","wgEncode",,,"exp",,"362M",,2834,,"wgEncodeBroadHistoneHsmmtH3k4me2StdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtH3k4me2StdSig.bigWig","wgEncodeBroadHistoneHsmmtH3k4me2StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k4me2StdSig.bigWig"
"H3K4me3","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH001007","GSM733738","Bernstein","Broad",,"ebfaaafca9833ce33963c26edda24575",,"hg19","wgEncode",,,"exp",,"978K","ScriptureVPaperR3",2835,,"wgEncodeBroadHistoneHsmmtH3k4me3StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtH3k4me3StdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmtH3k4me3StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k4me3StdPk.broadPeak.gz"
"H3K4me3","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH001007","GSM733738","Bernstein","Broad",,"9f42dcbe1ac52902de1fb6110aef4768",,"hg19","wgEncode",,,"exp",,"349M",,2835,,"wgEncodeBroadHistoneHsmmtH3k4me3StdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtH3k4me3StdSig.bigWig","wgEncodeBroadHistoneHsmmtH3k4me3StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k4me3StdSig.bigWig"
"H3K79me2","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH001008","GSM733727","Bernstein","Broad",,"d7611fe37ffd64633e1589b7c41dd664",,"hg19","wgEncode",,,"exp",,"664K","ScriptureVPaperR3",2836,,"wgEncodeBroadHistoneHsmmtH3k79me2StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtH3k79me2StdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmtH3k79me2StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k79me2StdPk.broadPeak.gz"
"H3K79me2","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH001008","GSM733727","Bernstein","Broad",,"23e119d0dfd7437e89288802ba6d0669",,"hg19","wgEncode",,,"exp",,"613M",,2836,,"wgEncodeBroadHistoneHsmmtH3k79me2StdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtH3k79me2StdSig.bigWig","wgEncodeBroadHistoneHsmmtH3k79me2StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k79me2StdSig.bigWig"
"H3K9ac","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH001009","GSM733639","Bernstein","Broad",,"df1144227caf324b30e688d6c7933747",,"hg19","wgEncode",,,"exp",,"1.4M","ScriptureVPaperR3",2837,,"wgEncodeBroadHistoneHsmmtH3k9acStdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtH3k9acStdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmtH3k9acStdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k9acStdPk.broadPeak.gz"
"H3K9ac","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH001009","GSM733639","Bernstein","Broad",,"959fe3a3ebe20b9b6b1ba92137632844",,"hg19","wgEncode",,,"exp",,"373M",,2837,,"wgEncodeBroadHistoneHsmmtH3k9acStdSig","None","bigWig","Signal","wgEncodeBroadHistoneHsmmtH3k9acStdSig.bigWig","wgEncodeBroadHistoneHsmmtH3k9acStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH3k9acStdSig.bigWig"
"H4K20me1","HSMMtube","wgEncodeBroadHistone","std","wgEncodeEH001001","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH001010","GSM733644","Bernstein","Broad",,"f040ade6627b9dfbe853ee7c78298205",,"hg19","wgEncode",,,"exp",,"2.5M","ScriptureVPaperR3",2838,,"wgEncodeBroadHistoneHsmmtH4k20me1StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneHsmmtH4k20me1StdPk.broadPeak.gz","wgEncodeBroadHistoneHsmmtH4k20me1StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneHsmmtH4k20me1StdPk.broadPeak.gz"
