"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","seq_platform","set_type","sex","size","software_version","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"H3K4me3","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-11-04#,#2012-08-04#,"wgEncodeEH003065","GSM1003561","Bernstein","Broad",,"8186fc86203e0253e9acfbd5702bdbb3",,"hg19","wgEncode",,,"exp",,"1.7M","ScriptureVPaperR3",5023,,"wgEncodeBroadHistoneA549H3k04me3Etoh02Pk","EtOH_0.02pct","broadPeak","Peaks","wgEncodeBroadHistoneA549H3k04me3Etoh02Pk.broadPeak.gz","wgEncodeBroadHistoneA549H3k04me3Etoh02Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me3Etoh02Pk.broadPeak.gz"
"H3K4me3","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-11-04#,#2012-08-04#,"wgEncodeEH003065","GSM1003561","Bernstein","Broad",,"3c0bcdac28dd83f17f5a30c257244400",,"hg19","wgEncode",,,"exp",,"513M",,5023,,"wgEncodeBroadHistoneA549H3k04me3Etoh02Sig","EtOH_0.02pct","bigWig","Signal","wgEncodeBroadHistoneA549H3k04me3Etoh02Sig.bigWig","wgEncodeBroadHistoneA549H3k04me3Etoh02Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me3Etoh02Sig.bigWig"
"H3K9ac","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-15#,#2012-12-15#,"wgEncodeEH003079","GSM1003544","Bernstein","Broad",,"37cfd38ff99ff5664fc7c37afb6f9d01",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"1.1M","ScriptureVPaperR3",6001,,"wgEncodeBroadHistoneA549H3k09acEtoh02Pk","EtOH_0.02pct","broadPeak","Peaks","wgEncodeBroadHistoneA549H3k09acEtoh02Pk.broadPeak.gz","wgEncodeBroadHistoneA549H3k09acEtoh02Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k09acEtoh02Pk.broadPeak.gz"
"H3K9ac","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-15#,#2012-12-15#,"wgEncodeEH003079","GSM1003544","Bernstein","Broad",,"bbb8f53ac7a0114488efe278c0fde407",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"338M",,6001,,"wgEncodeBroadHistoneA549H3k09acEtoh02Sig","EtOH_0.02pct","bigWig","Signal","wgEncodeBroadHistoneA549H3k09acEtoh02Sig.bigWig","wgEncodeBroadHistoneA549H3k09acEtoh02Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k09acEtoh02Sig.bigWig"
"H3K9me3","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003123","GSM1003454","Bernstein","Broad",,"b8d80e43707324d9767169c3c1ca355e",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"1.1M","ScriptureVPaperR3",7628,,"wgEncodeBroadHistoneA549H3k09me3Etoh02Pk","EtOH_0.02pct","broadPeak","Peaks","wgEncodeBroadHistoneA549H3k09me3Etoh02Pk.broadPeak.gz","wgEncodeBroadHistoneA549H3k09me3Etoh02Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k09me3Etoh02Pk.broadPeak.gz"
"H3K9me3","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003123","GSM1003454","Bernstein","Broad",,"fde1c841042a15b45d39dad2ac6d81df",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"572M",,7628,,"wgEncodeBroadHistoneA549H3k09me3Etoh02Sig","EtOH_0.02pct","bigWig","Signal","wgEncodeBroadHistoneA549H3k09me3Etoh02Sig.bigWig","wgEncodeBroadHistoneA549H3k09me3Etoh02Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k09me3Etoh02Sig.bigWig"
"H3K27ac","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-28#,#2013-04-28#,"wgEncodeEH003141","GSM1003493","Bernstein","Broad",,"45c62ad815594ba14d107ca684337d7e",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"850K","ScriptureVPaperR3",7728,,"wgEncodeBroadHistoneA549H3k27acDex100nmPk","DEX_100nM","broadPeak","Peaks","wgEncodeBroadHistoneA549H3k27acDex100nmPk.broadPeak.gz","wgEncodeBroadHistoneA549H3k27acDex100nmPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k27acDex100nmPk.broadPeak.gz"
"H3K27ac","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-28#,#2013-04-28#,"wgEncodeEH003141","GSM1003493","Bernstein","Broad",,"e8cb91503c26f5731e1dd9e3dd9aacfc",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"401M",,7728,,"wgEncodeBroadHistoneA549H3k27acDex100nmSig","DEX_100nM","bigWig","Signal","wgEncodeBroadHistoneA549H3k27acDex100nmSig.bigWig","wgEncodeBroadHistoneA549H3k27acDex100nmSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k27acDex100nmSig.bigWig"
"H3K27ac","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003118","GSM1003578","Bernstein","Broad",,"c3226656a30cb49127afe0f2623baa25",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"830K","ScriptureVPaperR3",7624,,"wgEncodeBroadHistoneA549H3k27acEtoh02Pk","EtOH_0.02pct","broadPeak","Peaks","wgEncodeBroadHistoneA549H3k27acEtoh02Pk.broadPeak.gz","wgEncodeBroadHistoneA549H3k27acEtoh02Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k27acEtoh02Pk.broadPeak.gz"
"H3K27ac","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003118","GSM1003578","Bernstein","Broad",,"88f040ab34f9e77f6f2e3bca9efde9c3",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"320M",,7624,,"wgEncodeBroadHistoneA549H3k27acEtoh02Sig","EtOH_0.02pct","bigWig","Signal","wgEncodeBroadHistoneA549H3k27acEtoh02Sig.bigWig","wgEncodeBroadHistoneA549H3k27acEtoh02Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k27acEtoh02Sig.bigWig"
