"cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","lab_version","md5sum","obj_status","orig_assembly","project","replicate","seq_platform","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"GM06990","wgEncodeUwDgf","DnaseDgf","ENCODE June 2010 Freeze",#2010-06-21#,#2010-01-14#,#2010-10-14#,"wgEncodeEH000479","GSM646568","Stam","UW","DS7748","lmax-v1.0","ba7ab799b6997872dbc5726aa4f0f5f8",,"hg18","wgEncode",,,"1.8M",1682,,"wgEncodeUwDgfGm06990Pk",,"narrowPeak","Peaks","wgEncodeUwDgfGm06990Pk.narrowPeak.gz","wgEncodeUwDgfGm06990Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfGm06990Pk.narrowPeak.gz"
"GM06990","wgEncodeUwDgf","DnaseDgf","ENCODE June 2010 Freeze",#2010-06-21#,#2010-01-14#,#2010-10-14#,"wgEncodeEH000479","GSM646568","Stam","UW","DS7748","WindowDensity-bin20-win+/-75","4fec595d8dcc9cc50ebfdcbc4f13cade",,"hg18","wgEncode",,,"264M",1682,,"wgEncodeUwDgfGm06990Raw",,"bigWig","RawSignal","wgEncodeUwDgfGm06990Raw.bigWig","wgEncodeUwDgfGm06990Raw.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfGm06990Raw.bigWig"
"GM06990","wgEncodeUwDgf","DnaseDgf","ENCODE June 2010 Freeze",#2010-06-21#,#2010-01-14#,#2010-10-14#,"wgEncodeEH000479","GSM646568","Stam","UW","DS7748",,"ee4ad5dd0e4417e9573ade5c106591ea",,"hg18","wgEncode",,,"286M",1682,,"wgEncodeUwDgfGm06990Sig",,"bigWig","Signal","wgEncodeUwDgfGm06990Sig.bigWig","wgEncodeUwDgfGm06990Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfGm06990Sig.bigWig"
"GM12865","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002443","GSM1014526","Stam","UW","DS12436","Hotspot-v5.2","34568dea73b44c232eb34c157f4cc351",,"hg19","wgEncode",,"Illumina_HiSeq_2000","3.2M",4886,,"wgEncodeUwDgfGm12865Hotspots",,"broadPeak","Hotspots","wgEncodeUwDgfGm12865Hotspots.broadPeak.gz","wgEncodeUwDgfGm12865Hotspots.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfGm12865Hotspots.broadPeak.gz"
"GM12865","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002443","GSM1014526","Stam","UW","DS12436","lmax-v1.0","9b91f6f4b94479831bb509f20cfe08bf",,"hg19","wgEncode",,"Illumina_HiSeq_2000","2.4M",4886,,"wgEncodeUwDgfGm12865Pk",,"narrowPeak","Peaks","wgEncodeUwDgfGm12865Pk.narrowPeak.gz","wgEncodeUwDgfGm12865Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfGm12865Pk.narrowPeak.gz"
"GM12865","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002443","GSM1014526","Stam","UW","DS12436","WindowDensity-bin20-win+/-75","5891e966b245611fe2e289900b7970ad",,"hg19","wgEncode",,"Illumina_HiSeq_2000","337M",4886,,"wgEncodeUwDgfGm12865Raw",,"bigWig","RawSignal","wgEncodeUwDgfGm12865Raw.bigWig","wgEncodeUwDgfGm12865Raw.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfGm12865Raw.bigWig"
"GM12865","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002443","GSM1014526","Stam","UW","DS12436",,"d1fff94241c4df7839366c6b91e80cd7",,"hg19","wgEncode",,"Illumina_HiSeq_2000","498M",4886,,"wgEncodeUwDgfGm12865Sig",,"bigWig","Signal","wgEncodeUwDgfGm12865Sig.bigWig","wgEncodeUwDgfGm12865Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfGm12865Sig.bigWig"
"H7-hESC","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2010-07-25#,#2011-04-24#,"wgEncodeEH000834","GSM646563","Stam","UW","DS11909","Hotspot-v5.1","0d76b39b8bf6a223b7fb30a475ebe196",,"hg19","wgEncode",,,"6.7M",2047,,"wgEncodeUwDgfH7esHotspots",,"broadPeak","Hotspots","wgEncodeUwDgfH7esHotspots.broadPeak.gz","wgEncodeUwDgfH7esHotspots.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfH7esHotspots.broadPeak.gz"
"H7-hESC","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2011-01-14#,#2011-10-14#,"wgEncodeEH000834","GSM646563","Stam","UW","DS11909","lmax-v1.0","df182a5e11303d2f97afc410d619a738",,"hg19","wgEncode",,,"5.2M",3260,"V2 - Fixed bug in peak calls that artificially reduced the number of peaks","wgEncodeUwDgfH7esPkV2",,"narrowPeak","Peaks","wgEncodeUwDgfH7esPkV2.narrowPeak.gz","wgEncodeUwDgfH7esPkV2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfH7esPkV2.narrowPeak.gz"
"H7-hESC","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2010-07-25#,#2011-04-24#,"wgEncodeEH000834","GSM646563","Stam","UW","DS11909","WindowDensity-bin20-win+/-75","e3e6165f83122837a2992567e913b8b0",,"hg19","wgEncode",,,"345M",2047,,"wgEncodeUwDgfH7esRaw",,"bigWig","RawSignal","wgEncodeUwDgfH7esRaw.bigWig","wgEncodeUwDgfH7esRaw.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfH7esRaw.bigWig"
