"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","software_version","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"NFKB","GM10847","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000770","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000734","GSM935527","Snyder","Stanford",,"87cfeab4b6b3d746ce5bd994d5b17b40",,"hg18","wgEncode",,"exp","158K",,4165,,"wgEncodeSydhTfbsGm10847NfkbTnfaIggrabPk","TNFa","narrowPeak","Peaks","wgEncodeSydhTfbsGm10847NfkbTnfaIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsGm10847NfkbTnfaIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm10847NfkbTnfaIggrabPk.narrowPeak.gz"
"NFKB","GM10847","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000770","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000734","GSM935527","Snyder","Stanford",,"7810cbedcca7cd90365e966b3314a449",,"hg18","wgEncode",,"exp","488M",,3053,,"wgEncodeSydhTfbsGm10847NfkbTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm10847NfkbTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm10847NfkbTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm10847NfkbTnfaIggrabSig.bigWig"
"Pol2","GM10847","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000728","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-09#,#2012-03-09#,"wgEncodeEH000705","GSM935389","Snyder","Stanford",,"ddf0d376e5c674eaa88ffb8e3698a03b",,"hg18","wgEncode",,"exp","182K",,4313,,"wgEncodeSydhTfbsGm10847Pol2IggmusPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsGm10847Pol2IggmusPk.narrowPeak.gz","wgEncodeSydhTfbsGm10847Pol2IggmusPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm10847Pol2IggmusPk.narrowPeak.gz"
"Pol2","GM10847","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000728","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000705","GSM935389","Snyder","Stanford",,"d7ff578729be12fdc2a005b2d1fce064",,"hg18","wgEncode",,"exp","140M",,3053,,"wgEncodeSydhTfbsGm10847Pol2IggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm10847Pol2IggmusSig.bigWig","wgEncodeSydhTfbsGm10847Pol2IggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm10847Pol2IggmusSig.bigWig"
"BHLHE40_(NB100-1800)","GM12878","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000706","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-29#,#2012-03-29#,"wgEncodeEH002025","GSM935430","Snyder","Stanford","PeakSeq1.0","43496bc940997f5b2495c4789e88d0d1",,"hg19","wgEncode",,"exp","1.1M",,4453,,"wgEncodeSydhTfbsGm12878Bhlhe40cIggmusPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsGm12878Bhlhe40cIggmusPk.narrowPeak.gz","wgEncodeSydhTfbsGm12878Bhlhe40cIggmusPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878Bhlhe40cIggmusPk.narrowPeak.gz"
"BHLHE40_(NB100-1800)","GM12878","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000706","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-29#,#2012-03-29#,"wgEncodeEH002025","GSM935430","Snyder","Stanford","PeakSeq1.0","b72f28cefbca0136e10d5aa751f2fca4",,"hg19","wgEncode",,"exp","336M",,4453,,"wgEncodeSydhTfbsGm12878Bhlhe40cIggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm12878Bhlhe40cIggmusSig.bigWig","wgEncodeSydhTfbsGm12878Bhlhe40cIggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878Bhlhe40cIggmusSig.bigWig"
"BRCA1_(A300-000A)","GM12878","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000706","ChipSeq","ENCODE Jan 2011 Freeze",,#2011-01-18#,#2011-10-18#,"wgEncodeEH001830","GSM935377","Snyder","Stanford","PeakSeq1.0","67e3bdb471751bbd4a1de94f79a27f04",,"hg19","wgEncode",,"exp","276K",,3311,,"wgEncodeSydhTfbsGm12878Brca1a300IggmusPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsGm12878Brca1a300IggmusPk.narrowPeak.gz","wgEncodeSydhTfbsGm12878Brca1a300IggmusPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878Brca1a300IggmusPk.narrowPeak.gz"
"BRCA1_(A300-000A)","GM12878","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000706","ChipSeq","ENCODE Jan 2011 Freeze",,#2011-01-18#,#2011-10-18#,"wgEncodeEH001830","GSM935377","Snyder","Stanford","PeakSeq1.0","73005ece3ae813304f66c029cf64c865",,"hg19","wgEncode",,"exp","341M",,3311,,"wgEncodeSydhTfbsGm12878Brca1a300IggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm12878Brca1a300IggmusSig.bigWig","wgEncodeSydhTfbsGm12878Brca1a300IggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878Brca1a300IggmusSig.bigWig"
"CDP_(sc-6327)","GM12878","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000706","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-08-01#,#2013-05-01#,"wgEncodeEH003386","GSM1003604","Snyder","Stanford","PeakSeq1.0","52ed65dd7ad9cf290819dc2431d7966a",,,"wgEncode",,"exp","706K",,7857,,"wgEncodeSydhTfbsGm12878Cdpsc6327IggmusPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsGm12878Cdpsc6327IggmusPk.narrowPeak.gz","wgEncodeSydhTfbsGm12878Cdpsc6327IggmusPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878Cdpsc6327IggmusPk.narrowPeak.gz"
"CDP_(sc-6327)","GM12878","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000706","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-08-01#,#2013-05-01#,"wgEncodeEH003386","GSM1003604","Snyder","Stanford","PeakSeq1.0","463fc33bea2dcbdd2c0ca6826fc9e33d",,,"wgEncode",,"exp","392M",,7857,,"wgEncodeSydhTfbsGm12878Cdpsc6327IggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm12878Cdpsc6327IggmusSig.bigWig","wgEncodeSydhTfbsGm12878Cdpsc6327IggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878Cdpsc6327IggmusSig.bigWig"
