"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","software_version","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"Pol2","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-06#,#2011-09-06#,"wgEncodeEH001792","GSM935603","Snyder","Stanford","PeakSeq1.0","f7114cc0f62a7245b978b306d494ad1d",,"hg19","wgEncode",,"exp","386M",,3072,,"wgEncodeSydhTfbsHepg2Pol2IggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsHepg2Pol2IggrabSig.bigWig","wgEncodeSydhTfbsHepg2Pol2IggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Pol2IggrabSig.bigWig"
"Pol2","HepG2","wgEncodeSydhTfbs","std","wgEncodeEH000640","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000641","GSM935312","Snyder","Yale",,"972c5ce2f823b520d52b1ae57310108d",,"hg18","wgEncode",,"exp","80K",,4165,,"wgEncodeSydhTfbsHepg2Pol2PravastStdPk","pravastatin","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Pol2PravastStdPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Pol2PravastStdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Pol2PravastStdPk.narrowPeak.gz"
"Pol2","HepG2","wgEncodeSydhTfbs","std","wgEncodeEH000640","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000641","GSM935312","Snyder","Yale",,"3dbf1663c8899dcaea6b4fdf34cfafa0",,"hg18","wgEncode",,"exp","296M",,3055,,"wgEncodeSydhTfbsHepg2Pol2PravastStdSig","pravastatin","bigWig","Signal","wgEncodeSydhTfbsHepg2Pol2PravastStdSig.bigWig","wgEncodeSydhTfbsHepg2Pol2PravastStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Pol2PravastStdSig.bigWig"
"Pol2(phosphoS2)","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-03-31#,#2011-12-31#,"wgEncodeEH001860","GSM935543","Snyder","Stanford","PeakSeq1.0","376a369f55dd5124d1c50c8b5dd08b76",,"hg19","wgEncode",,"exp","1.2M",,3873,,"wgEncodeSydhTfbsHepg2Pol2s2IggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Pol2s2IggrabPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Pol2s2IggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Pol2s2IggrabPk.narrowPeak.gz"
"Pol2(phosphoS2)","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-03-31#,#2011-12-31#,"wgEncodeEH001860","GSM935543","Snyder","Stanford","PeakSeq1.0","5c70e352cc6f7762d103bc2f1113acc2",,"hg19","wgEncode",,"exp","348M",,3873,,"wgEncodeSydhTfbsHepg2Pol2s2IggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsHepg2Pol2s2IggrabSig.bigWig","wgEncodeSydhTfbsHepg2Pol2s2IggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Pol2s2IggrabSig.bigWig"
"Rad21","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH001803","GSM935647","Snyder","Stanford","PeakSeq1.0","1420969df685b6fccc6412a01d502d8e",,"hg19","wgEncode",,"exp","1.1M",,1349,,"wgEncodeSydhTfbsHepg2Rad21IggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Rad21IggrabPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Rad21IggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Rad21IggrabPk.narrowPeak.gz"
"Rad21","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-06#,#2011-09-06#,"wgEncodeEH001803","GSM935647","Snyder","Stanford","PeakSeq1.0","cb899ba80e87dc39c1b6d0717977c17c",,"hg19","wgEncode",,"exp","426M",,3072,,"wgEncodeSydhTfbsHepg2Rad21IggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsHepg2Rad21IggrabSig.bigWig","wgEncodeSydhTfbsHepg2Rad21IggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Rad21IggrabSig.bigWig"
"RFX5_(200-401-194)","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE Jan 2011 Freeze",,#2011-01-18#,#2011-10-18#,"wgEncodeEH001843","GSM935304","Snyder","Stanford","PeakSeq1.0","9eb388977d144d850072d7f8cecf0b4d",,"hg19","wgEncode",,"exp","695K",,3322,,"wgEncodeSydhTfbsHepg2Rfx5200401194IggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Rfx5200401194IggrabPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Rfx5200401194IggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Rfx5200401194IggrabPk.narrowPeak.gz"
"RFX5_(200-401-194)","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE Jan 2011 Freeze",,#2011-01-18#,#2011-10-18#,"wgEncodeEH001843","GSM935304","Snyder","Stanford","PeakSeq1.0","b1bff03d657be83cfa8157225150717f",,"hg19","wgEncode",,"exp","356M",,3322,,"wgEncodeSydhTfbsHepg2Rfx5200401194IggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsHepg2Rfx5200401194IggrabSig.bigWig","wgEncodeSydhTfbsHepg2Rfx5200401194IggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Rfx5200401194IggrabSig.bigWig"
"SMC3_(ab9263)","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-03-31#,#2011-12-31#,"wgEncodeEH001861","GSM935542","Snyder","Stanford","PeakSeq1.0","ea6c604c71a83a730fa8a32ddeb4adfb",,"hg19","wgEncode",,"exp","1.1M",,3874,,"wgEncodeSydhTfbsHepg2Smc3ab9263IggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Smc3ab9263IggrabPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Smc3ab9263IggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Smc3ab9263IggrabPk.narrowPeak.gz"
"SMC3_(ab9263)","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-03-31#,#2011-12-31#,"wgEncodeEH001861","GSM935542","Snyder","Stanford","PeakSeq1.0","3ad25f7b7aada80ee58aa6168eb7dae2",,"hg19","wgEncode",,"exp","366M",,3874,,"wgEncodeSydhTfbsHepg2Smc3ab9263IggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsHepg2Smc3ab9263IggrabSig.bigWig","wgEncodeSydhTfbsHepg2Smc3ab9263IggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Smc3ab9263IggrabSig.bigWig"
"SREBP1","HepG2","wgEncodeSydhTfbs","std","wgEncodeEH000756","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000759","GSM935627","Snyder","Stanford",,"fb1ad30ee464cd4af75f31d17407de4a",,"hg18","wgEncode",,"exp","16K",,4165,,"wgEncodeSydhTfbsHepg2Srebp1InslnStdPk","insulin","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Srebp1InslnStdPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Srebp1InslnStdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Srebp1InslnStdPk.narrowPeak.gz"
"SREBP1","HepG2","wgEncodeSydhTfbs","std","wgEncodeEH000756","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000759","GSM935627","Snyder","Stanford",,"a04801ef6ab609d407e5f8d9eb4a3916",,"hg18","wgEncode",,"exp","256M",,3055,,"wgEncodeSydhTfbsHepg2Srebp1InslnStdSig","insulin","bigWig","Signal","wgEncodeSydhTfbsHepg2Srebp1InslnStdSig.bigWig","wgEncodeSydhTfbsHepg2Srebp1InslnStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Srebp1InslnStdSig.bigWig"
"SREBP1","HepG2","wgEncodeSydhTfbs","std","wgEncodeEH000640","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000642","GSM935315","Snyder","Yale",,"4996830829c4ec196f7acd3d9da4ff2f",,"hg18","wgEncode",,"exp","3.2K",,4165,,"wgEncodeSydhTfbsHepg2Srebp1PravastStdPk","pravastatin","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Srebp1PravastStdPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Srebp1PravastStdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Srebp1PravastStdPk.narrowPeak.gz"
"SREBP1","HepG2","wgEncodeSydhTfbs","std","wgEncodeEH000640","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000642","GSM935315","Snyder","Yale",,"c20cd5dc24879d4dbdcf4756f619bf3d",,"hg18","wgEncode",,"exp","301M",,3055,,"wgEncodeSydhTfbsHepg2Srebp1PravastStdSig","pravastatin","bigWig","Signal","wgEncodeSydhTfbsHepg2Srebp1PravastStdSig.bigWig","wgEncodeSydhTfbsHepg2Srebp1PravastStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Srebp1PravastStdSig.bigWig"
"SREBP2","HepG2","wgEncodeSydhTfbs","std","wgEncodeEH000640","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000643","GSM935314","Snyder","Yale",,"5a1642ac9e762a20501891bcfa977fc4",,"hg18","wgEncode",,"exp","2.9K",,4165,,"wgEncodeSydhTfbsHepg2Srebp2PravastStdPk","pravastatin","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Srebp2PravastStdPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Srebp2PravastStdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Srebp2PravastStdPk.narrowPeak.gz"
"SREBP2","HepG2","wgEncodeSydhTfbs","std","wgEncodeEH000640","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000643","GSM935314","Snyder","Yale",,"282e7f2ef44ef8935a7ba93706855325",,"hg18","wgEncode",,"exp","301M",,3055,,"wgEncodeSydhTfbsHepg2Srebp2PravastStdSig","pravastatin","bigWig","Signal","wgEncodeSydhTfbsHepg2Srebp2PravastStdSig.bigWig","wgEncodeSydhTfbsHepg2Srebp2PravastStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Srebp2PravastStdSig.bigWig"
"TBP","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE June 2010 Freeze",,#2010-04-27#,#2011-01-27#,"wgEncodeEH001793","GSM935280","Snyder","Stanford","PeakSeq1.0","6da5869b792d8ca0da8b5eff192ab49f",,"hg19","wgEncode",,"exp","472K",,1141,,"wgEncodeSydhTfbsHepg2TbpIggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2TbpIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2TbpIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2TbpIggrabPk.narrowPeak.gz"
"TBP","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-06#,#2011-09-06#,"wgEncodeEH001793","GSM935280","Snyder","Stanford","PeakSeq1.0","d839e18af31914d52a7c608cd7e1dba2",,"hg19","wgEncode",,"exp","401M",,3072,,"wgEncodeSydhTfbsHepg2TbpIggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsHepg2TbpIggrabSig.bigWig","wgEncodeSydhTfbsHepg2TbpIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2TbpIggrabSig.bigWig"
"TCF7L2","HepG2","wgEncodeSydhTfbs","UCDavis","wgEncodeEH000674","ChipSeq","ENCODE Mar 2012 Freeze",#2001-06-27#,#2011-01-19#,#2011-10-19#,"wgEncodeEH001780","GSM782122","Snyder","USC","PeakSeq1.0","a8820427b58edb00f5616bb88b43db4f",,"hg19","wgEncode",,"exp","251K",,4411,,"wgEncodeSydhTfbsHepg2Tcf7l2UcdPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Tcf7l2UcdPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Tcf7l2UcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Tcf7l2UcdPk.narrowPeak.gz"
"TCF7L2","HepG2","wgEncodeSydhTfbs","UCDavis","wgEncodeEH000674","ChipSeq","ENCODE Mar 2012 Freeze",#2001-06-27#,#2011-01-19#,#2011-10-19#,"wgEncodeEH001780","GSM782122","Snyder","USC","PeakSeq1.0","25f83b14d8f3e06a3822edebd754a88b",,"hg19","wgEncode",,"exp","331M",,4411,,"wgEncodeSydhTfbsHepg2Tcf7l2UcdSig","None","bigWig","Signal","wgEncodeSydhTfbsHepg2Tcf7l2UcdSig.bigWig","wgEncodeSydhTfbsHepg2Tcf7l2UcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Tcf7l2UcdSig.bigWig"
"TR4","HepG2","wgEncodeSydhTfbs","UCDavis","wgEncodeEH000674","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000675","GSM935596","Snyder","USC",,"ba36c7bacb35c0dfa9bffe78ae4c0076",,"hg18","wgEncode",,"exp","36K",,4165,,"wgEncodeSydhTfbsHepg2Tr4UcdPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Tr4UcdPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Tr4UcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Tr4UcdPk.narrowPeak.gz"
"TR4","HepG2","wgEncodeSydhTfbs","UCDavis","wgEncodeEH000674","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000675","GSM935596","Snyder","USC",,"de3c49510834a2ef3ad2d2b52697b3f4",,"hg18","wgEncode",,"exp","340M",,3055,,"wgEncodeSydhTfbsHepg2Tr4UcdSig","None","bigWig","Signal","wgEncodeSydhTfbsHepg2Tr4UcdSig.bigWig","wgEncodeSydhTfbsHepg2Tr4UcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Tr4UcdSig.bigWig"
"USF2","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH001804","GSM935646","Snyder","Stanford","PeakSeq1.0","6fa6d3dcf2efd29f23022cfaef7b4ee5",,"hg19","wgEncode",,"exp","468K",,1357,,"wgEncodeSydhTfbsHepg2Usf2IggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Usf2IggrabPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Usf2IggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Usf2IggrabPk.narrowPeak.gz"
"USF2","HepG2","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH001791","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-06#,#2011-09-06#,"wgEncodeEH001804","GSM935646","Snyder","Stanford","PeakSeq1.0","2668260c921f144ccb8036770ef1aef2",,"hg19","wgEncode",,"exp","460M",,3072,,"wgEncodeSydhTfbsHepg2Usf2IggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsHepg2Usf2IggrabSig.bigWig","wgEncodeSydhTfbsHepg2Usf2IggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Usf2IggrabSig.bigWig"
"ZNF274","HepG2","wgEncodeSydhTfbs","UCDavis","wgEncodeEH000674","ChipSeq","ENCODE June 2010 Freeze",,#2010-05-10#,#2011-02-10#,"wgEncodeEH001755","GSM935350","Snyder","USC","PeakSeq1.0.  Replicate overlap below cutoff, but submitted because there are very few biologically real targets and all the targets are in heterochromatic regions.","b4448df9d770ca085e592709c679bab0",,"hg19","wgEncode",,"exp","12K",,1190,,"wgEncodeSydhTfbsHepg2Znf274UcdPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHepg2Znf274UcdPk.narrowPeak.gz","wgEncodeSydhTfbsHepg2Znf274UcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Znf274UcdPk.narrowPeak.gz"
"ZNF274","HepG2","wgEncodeSydhTfbs","UCDavis","wgEncodeEH000674","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-06#,#2011-09-06#,"wgEncodeEH001755","GSM935350","Snyder","USC","PeakSeq1.0","2e1037374c3148971451cc7e2378a020",,"hg19","wgEncode",,"exp","367M",,3072,,"wgEncodeSydhTfbsHepg2Znf274UcdSig","None","bigWig","Signal","wgEncodeSydhTfbsHepg2Znf274UcdSig.bigWig","wgEncodeSydhTfbsHepg2Znf274UcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHepg2Znf274UcdSig.bigWig"
"c-Fos","HUVEC","wgEncodeSydhTfbs","UCDavis","wgEncodeEH001759","ChipSeq","ENCODE Jan 2011 Freeze",,#2011-01-13#,#2011-10-13#,"wgEncodeEH001774","GSM935585","Snyder","USC","PeakSeq1.0","bb599bbd29c0980f153d58c88d28556b",,"hg19","wgEncode",,"exp","946K",,3250,,"wgEncodeSydhTfbsHuvecCfosUcdPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHuvecCfosUcdPk.narrowPeak.gz","wgEncodeSydhTfbsHuvecCfosUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHuvecCfosUcdPk.narrowPeak.gz"
"c-Fos","HUVEC","wgEncodeSydhTfbs","UCDavis","wgEncodeEH001759","ChipSeq","ENCODE Jan 2011 Freeze",,#2011-01-13#,#2011-10-13#,"wgEncodeEH001774","GSM935585","Snyder","USC","PeakSeq1.0","2c19374f221281b5dba3bda5e2ab31a5",,"hg19","wgEncode",,"exp","345M",,3250,,"wgEncodeSydhTfbsHuvecCfosUcdSig","None","bigWig","Signal","wgEncodeSydhTfbsHuvecCfosUcdSig.bigWig","wgEncodeSydhTfbsHuvecCfosUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHuvecCfosUcdSig.bigWig"
"c-Jun","HUVEC","wgEncodeSydhTfbs","std","wgEncodeEH000780","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000719","GSM935278","Snyder","Stanford",,"ae6fe5c2163b74d8dfaea169e1a4faaf",,"hg18","wgEncode",,"exp","361K",,4165,,"wgEncodeSydhTfbsHuvecCjunStdPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHuvecCjunStdPk.narrowPeak.gz","wgEncodeSydhTfbsHuvecCjunStdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHuvecCjunStdPk.narrowPeak.gz"
"c-Jun","HUVEC","wgEncodeSydhTfbs","std","wgEncodeEH000780","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000719","GSM935278","Snyder","Stanford",,"2dbecf080c060b5d32689a7740846aab",,"hg18","wgEncode",,"exp","410M",,3055,,"wgEncodeSydhTfbsHuvecCjunStdSig","None","bigWig","Signal","wgEncodeSydhTfbsHuvecCjunStdSig.bigWig","wgEncodeSydhTfbsHuvecCjunStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHuvecCjunStdSig.bigWig"
"GATA-2","HUVEC","wgEncodeSydhTfbs","UCDavis","wgEncodeEH001759","ChipSeq","ENCODE June 2010 Freeze",,#2010-05-20#,#2011-02-20#,"wgEncodeEH001758","GSM935347","Snyder","USC","PeakSeq1.0","acb48b377345c35ec4d5c2d1c13b861b",,"hg19","wgEncode",,"exp","592K",,1204,,"wgEncodeSydhTfbsHuvecGata2UcdPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHuvecGata2UcdPk.narrowPeak.gz","wgEncodeSydhTfbsHuvecGata2UcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHuvecGata2UcdPk.narrowPeak.gz"
"GATA-2","HUVEC","wgEncodeSydhTfbs","UCDavis","wgEncodeEH001759","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-06#,#2011-09-06#,"wgEncodeEH001758","GSM935347","Snyder","USC","PeakSeq1.0","6ac6f864da35a50919c24866dc8f3095",,"hg19","wgEncode",,"exp","370M",,3072,,"wgEncodeSydhTfbsHuvecGata2UcdSig","None","bigWig","Signal","wgEncodeSydhTfbsHuvecGata2UcdSig.bigWig","wgEncodeSydhTfbsHuvecGata2UcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHuvecGata2UcdSig.bigWig"
"Input","HUVEC","wgEncodeSydhTfbs","std","wgEncodeEH000780","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000780","GSM935510","Snyder","Yale",,"8a0d7b21c273ad381f752e787acac3a1",,"hg18","wgEncode",,"input","536M",,3055,,"wgEncodeSydhTfbsHuvecInputStdSig","None","bigWig","Signal","wgEncodeSydhTfbsHuvecInputStdSig.bigWig","wgEncodeSydhTfbsHuvecInputStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHuvecInputStdSig.bigWig"
"Input","HUVEC","wgEncodeSydhTfbs","UCDavis","wgEncodeEH001759","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-06#,#2011-09-06#,"wgEncodeEH001759","GSM935346","Snyder","USC","PeakSeq1.0","8bfff18f2bea00625a809da457c3173e",,"hg19","wgEncode",,"input","351M",,3072,,"wgEncodeSydhTfbsHuvecInputUcdSig","None","bigWig","Signal","wgEncodeSydhTfbsHuvecInputUcdSig.bigWig","wgEncodeSydhTfbsHuvecInputUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHuvecInputUcdSig.bigWig"
"Max","HUVEC","wgEncodeSydhTfbs","std","wgEncodeEH000780","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000768","GSM935572","Snyder","Stanford",,"3d3531f299c1daa39d735c4d19cd2359",,"hg18","wgEncode",,"exp","94K",,4165,,"wgEncodeSydhTfbsHuvecMaxStdPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsHuvecMaxStdPk.narrowPeak.gz","wgEncodeSydhTfbsHuvecMaxStdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHuvecMaxStdPk.narrowPeak.gz"
"Max","HUVEC","wgEncodeSydhTfbs","std","wgEncodeEH000780","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000768","GSM935572","Snyder","Stanford",,"249c3972a5896350bd8858df140da960",,"hg18","wgEncode",,"exp","345M",,3055,,"wgEncodeSydhTfbsHuvecMaxStdSig","None","bigWig","Signal","wgEncodeSydhTfbsHuvecMaxStdSig.bigWig","wgEncodeSydhTfbsHuvecMaxStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsHuvecMaxStdSig.bigWig"
