cell_line.hCAGE-acute myeloid leukemia (FAB M7) cell line:M-MOK.CNhs13049.10699-109G6.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M7_29_20cell_20line_3aM_MOK_CNhs13049_10699_109G6_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M7) cell line:MKPL-1.CNhs11888.10802-111A1.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M7_29_20cell_20line_3aMKPL_1_CNhs11888_10802_111A1_hg19_ctss
cell_line.hCAGE-adenocarcinoma cell line:IM95m.CNhs11882.10796-110I4.hg19.ctss.bed	adenocarcinoma_20cell_20line_3aIM95m_CNhs11882_10796_110I4_hg19_ctss
cell_line.hCAGE-adrenal cortex adenocarcinoma cell line:SW-13.CNhs11893.10810-111A9.hg19.ctss.bed	adrenal_20cortex_20adenocarcinoma_20cell_20line_3aSW_13_CNhs11893_10810_111A9_hg19_ctss
cell_line.hCAGE-adult T-cell leukemia cell line:ATN-1.CNhs10738.10421-106C7.hg19.ctss.bed	adult_20T_cell_20leukemia_20cell_20line_3aATN_1_CNhs10738_10421_106C7_hg19_ctss
cell_line.hCAGE-alveolar cell carcinoma cell line:SW 1573.CNhs11838.10708-109H6.hg19.ctss.bed	alveolar_20cell_20carcinoma_20cell_20line_3aSW_201573_CNhs11838_10708_109H6_hg19_ctss
cell_line.hCAGE-anaplastic carcinoma cell line:8305C.CNhs10745.10428-106D5.hg19.ctss.bed	anaplastic_20carcinoma_20cell_20line_3a8305C_CNhs10745_10428_106D5_hg19_ctss
cell_line.hCAGE-anaplastic large cell lymphoma cell line:Ki-JK.CNhs11881.10795-110I3.hg19.ctss.bed	anaplastic_20large_20cell_20lymphoma_20cell_20line_3aKi_JK_CNhs11881_10795_110I3_hg19_ctss
cell_line.hCAGE-anaplastic squamous cell carcinoma cell line:RPMI 2650.CNhs11889.10805-111A4.hg19.ctss.bed	anaplastic_20squamous_20cell_20carcinoma_20cell_20line_3aRPMI_202650_CNhs11889_10805_111A4_hg19_ctss
cell_line.hCAGE-argyrophil small cell carcinoma cell line:TC-YIK.CNhs11725.10589-108D4.hg19.ctss.bed	argyrophil_20small_20cell_20carcinoma_20cell_20line_3aTC_YIK_CNhs11725_10589_108D4_hg19_ctss
cell_line.hCAGE-astrocytoma cell line:TM-31.CNhs10742.10425-106D2.hg19.ctss.bed	astrocytoma_20cell_20line_3aTM_31_CNhs10742_10425_106D2_hg19_ctss
cell_line.hCAGE-b cell line:RPMI1788.CNhs10744.10427-106D4.hg19.ctss.bed	b_20cell_20line_3aRPMI1788_CNhs10744_10427_106D4_hg19_ctss
cell_line.hCAGE-basal cell carcinoma cell line:TE 354.T.CNhs11932.10702-109G9.hg19.ctss.bed	basal_20cell_20carcinoma_20cell_20line_3aTE_20354_2eT_CNhs11932_10702_109G9_hg19_ctss
cell_line.hCAGE-bile duct carcinoma cell line:HuCCT1.CNhs10750.10432-106D9.hg19.ctss.bed	bile_20duct_20carcinoma_20cell_20line_3aHuCCT1_CNhs10750_10432_106D9_hg19_ctss
cell_line.hCAGE-bile duct carcinoma cell line:TFK-1.CNhs11265.10496-107C1.hg19.ctss.bed	bile_20duct_20carcinoma_20cell_20line_3aTFK_1_CNhs11265_10496_107C1_hg19_ctss
cell_line.hCAGE-biphenotypic B myelomonocytic leukemia cell line:MV-4-11.CNhs11845.10718-109I7.hg19.ctss.bed	biphenotypic_20B_20myelomonocytic_20leukemia_20cell_20line_3aMV_4_11_CNhs11845_10718_109I7_hg19_ctss
cell_line.hCAGE-bone marrow stromal cell line:StromaNKtert.CNhs11931.10686-109F2.hg19.ctss.bed	bone_20marrow_20stromal_20cell_20line_3aStromaNKtert_CNhs11931_10686_109F2_hg19_ctss
cell_line.hCAGE-breast carcinoma cell line:MCF7.CNhs11943.10482-107A5.hg19.ctss.bed	breast_20carcinoma_20cell_20line_3aMCF7_CNhs11943_10482_107A5_hg19_ctss
cell_line.hCAGE-breast carcinoma cell line:MDA-MB-453.CNhs10736.10419-106C5.hg19.ctss.bed	breast_20carcinoma_20cell_20line_3aMDA_MB_453_CNhs10736_10419_106C5_hg19_ctss
cell_line.hCAGE-bronchial squamous cell carcinoma cell line:KNS-62.CNhs11862.10760-110E4.hg19.ctss.bed	bronchial_20squamous_20cell_20carcinoma_20cell_20line_3aKNS_62_CNhs11862_10760_110E4_hg19_ctss
